row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
488,available,使用可能、入手可能、利用可能,2,A2,,,,,,,,,pending,available adj.,
489,avarice,欲、欲張り、貪欲,32,C2,,,,,,,,,pending,avarice (n),
490,average,一般、普通、並大抵,2,A2,,,,,,,,,pending,"average adj., n.",
491,average,均す、平均、一通り,4,B1,,,,,,,,,pending,average v.,
492,aversion,嫌忌,32,C2,,,,,,,,,pending,aversion (n),
493,avoid,外す、忌む、疎む,2,A2,,,,,,,,,pending,avoid v.,
494,await,窺う、待ち受ける、待つ,16,C1,,,,,,,,,pending,await v.,
495,award,授ける、贈る、判定,4,B1,,,,,,,,,pending,award v.,
496,award,賞、判定、褒賞,2,A2,,,,,,,,,pending,award n.,
497,aware,敏感、アウェア,4,B1,,,,,,,,,pending,aware adj.,
498,awareness,意識、承知、人心地,8,B2,,,,,,,,,pending,awareness n.,
499,away,離れて,1,A1,,,,,,,,,pending,away adv.,
500,awesome,恐れ多い、すごい,1,A1,,,,,,,,,pending,awesome adj.,
501,awful,偉い、最悪、最低,2,A2,,,,,,,,,pending,awful adj.,
502,awkward,辿々しい、煙たい、下手,8,B2,,,,,,,,,pending,awkward adj.,
503,axiom,公理、自明の理、要請,32,C2,,,,,,,,,pending,axiom (n),
504,axiomatic,自明,32,C2,,,,,,,,,pending,axiomatic (adj),
505,baby,赤ん坊,1,A1,,,,,,,,,pending,baby n.,
506,back,背中、後ろ、戻って,1,A1,,,,,,,,,pending,"back n., adv.",
507,back,背中、後ろ、戻って,2,A2,,,,,,,,,pending,back adj.,
508,back,背中、後ろ、戻って,8,B2,,,,,,,,,pending,back v.,
509,backdrop,背景、舞台背景、背景幕,16,C1,,,,,,,,,pending,backdrop n.,
510,background,遠景、身元、素性,2,A2,,,,,,,,,pending,background n.,
511,backing,奥、後ろ、背後,16,C1,,,,,,,,,pending,backing n.,
512,backlash,反動、反発、逆凪,32,C2,,,,,,,,,pending,backlash (n),
513,backup,控え、助太刀、退避,16,C1,,,,,,,,,pending,backup n.,
514,backward,未開発,4,B1,,,,,,,,,pending,backward adv.,
515,bacteria,細菌、ばい菌、真正細菌,8,B2,,,,,,,,,pending,bacteria n.,
516,bad,悪い,1,A1,,,,,,,,,pending,bad adj.,
517,badge,印、記章、章,8,B2,,,,,,,,,pending,badge n.,
518,badly,ひどく、悪く,2,A2,,,,,,,,,pending,badly adv.,
519,bag,鞄、袋、入れ,1,A1,,,,,,,,,pending,bag n.,
520,bail,保釈、保釈金、弦,16,C1,,,,,,,,,pending,bail n.,
521,bake,焼く、焼付ける、焼き上げる,4,B1,,,,,,,,,pending,bake v.,
522,balance,均衡、差し引き、釣り合う,4,B1,,,,,,,,,pending,"balance n., v.",
523,balanced,均衡の取れた,8,B2,,,,,,,,,pending,balanced adj.,
524,baleful,有害な、不吉な,32,C2,,,,,,,,,pending,baleful (adj),
525,balk,渋る、ボーク,32,C2,,,,,,,,,pending,balk (v),
526,ball,鞠、玉、舞踏会,1,A1,,,,,,,,,pending,ball n.,
527,ballast,荷足、砂利、底荷,32,C2,,,,,,,,,pending,ballast (n),
528,ballet,バレー、バレエ,8,B2,,,,,,,,,pending,ballet n.,
529,balloon,気球、風船、バルーン,8,B2,,,,,,,,,pending,balloon n.,
530,ballot,一票、採決、票,16,C1,,,,,,,,,pending,ballot n.,
531,balm,香油、芳香、バーム,32,C2,,,,,,,,,pending,balm (n),
532,ban,戒める、禁止、禁制,4,B1,,,,,,,,,pending,"ban v., n.",
533,banal,凡庸、千編一律,32,C2,,,,,,,,,pending,banal (adj),
534,banana,香蕉、甘蕉、実芭蕉,1,A1,,,,,,,,,pending,banana n.,
535,band,楽隊、楽団、群,1,A1,,,,,,,,,pending,band n.,
536,bane,泣かせ,32,C2,,,,,,,,,pending,bane (n),
537,bank,岸、岸辺、銀行,1,A1,,,,,,,,,pending,bank (money) n.,
538,bank,岸、岸辺、銀行,4,B1,,,,,,,,,pending,bank (river) n.,
539,bankruptcy,倒産、破産、破綻,16,C1,,,,,,,,,pending,bankruptcy n.,
540,banner,旗、旗幟、旗印,16,C1,,,,,,,,,pending,banner n.,
541,bar,横木、縞、酒処,1,A1,,,,,,,,,pending,bar n.,
542,bar,締め出す、横木、縞,8,B2,,,,,,,,,pending,bar v.,
543,bare,むき出し、露、赤裸,16,C1,,,,,,,,,pending,bare adj.,
544,barely,漸と、危うく、辛うじて,8,B2,,,,,,,,,pending,barely adv.,
545,bargain,お得、拾い物、出物,8,B2,,,,,,,,,pending,bargain n.,
546,barrage,弾幕、連打、放列,32,C2,,,,,,,,,pending,barrage (n),
547,barrel,樽、バレル,16,C1,,,,,,,,,pending,barrel n.,
548,barrier,垣、関、関所,8,B2,,,,,,,,,pending,barrier n.,
549,base,塩基、汚い、下等,4,B1,,,,,,,,,pending,"base n., v.",
550,baseball,野球、ベースボール,1,A1,,,,,,,,,pending,baseball n.,
551,based,〜に基づいた,2,A2,,,,,,,,,pending,based adj.,
552,basement,地下、地下室、地階,8,B2,,,,,,,,,pending,basement n.,
553,basic,基本的、根本的、基礎的,4,B1,,,,,,,,,pending,basic adj.,
554,basically,基本的に、詰まり、要は,8,B2,,,,,,,,,pending,basically adv.,
555,basis,基礎、基調、基底,4,B1,,,,,,,,,pending,basis n.,
556,basket,鞄、籠、ゴール,8,B2,,,,,,,,,pending,basket n.,
557,basketball,籠球、バスケット、バスケ,1,A1,,,,,,,,,pending,basketball n.,
558,bass1,低音、コントラバス、ベース,16,C1,,,,,,,,,pending,bass1 n.,
559,bastion,牙城,32,C2,,,,,,,,,pending,bastion (n),
560,bat,瞬く、蝙蝠、蚊食鳥,16,C1,,,,,,,,,pending,bat v.,
561,bat,蝙蝠、蚊食鳥、天鼠,8,B2,,,,,,,,,pending,bat n.,
562,bath,一風呂、風呂、浴場,1,A1,,,,,,,,,pending,bath n.,
563,bathroom,お手洗い、洗面所、湯殿,1,A1,,,,,,,,,pending,bathroom n.,
564,battery,乾電池、台場、中隊,4,B1,,,,,,,,,pending,battery n.,
565,battle,一戦、会戦、交戦,4,B1,,,,,,,,,pending,battle n.,
566,battle,一戦、会戦、交戦,8,B2,,,,,,,,,pending,battle v.,
567,battlefield,軍陣、戦域、戦場,16,C1,,,,,,,,,pending,battlefield n.,
568,bay,江、湾、内海,16,C1,,,,,,,,,pending,bay n.,
569,be,〜である、いる,1,A1,,,,,,,,,pending,"be v., auxiliary v.",
570,beach,磯辺、浦、海岸,1,A1,,,,,,,,,pending,beach n.,
571,beam,竿、桁、光,16,C1,,,,,,,,,pending,beam n.,
572,bean,ど頭、ビーン,2,A2,,,,,,,,,pending,bean n.,
573,bear,叶う、耐える、熊,32,C2,,,,,,,,,pending,bear up (phr v),
574,bear,叶う、耐える、携える,8,B2,,,,,,,,,pending,bear (deal with) v.,
575,bear,熊、軟派、熊羆,2,A2,,,,,,,,,pending,bear (animal) n.,
576,beast,獣、人でなし、人非人,16,C1,,,,,,,,,pending,beast n.,
577,beat,一巡、殴り付ける、殴る,2,A2,,,,,,,,,pending,beat v.,
578,beat,一巡、鼓動、拍子,8,B2,,,,,,,,,pending,beat n.,
579,beautiful,艶やか、佳、見事,1,A1,,,,,,,,,pending,beautiful adj.,
580,beauty,佳人、佳麗、花,4,B1,,,,,,,,,pending,beauty n.,
581,because,なぜなら,1,A1,,,,,,,,,pending,because conj.,
582,become,〜になる,1,A1,,,,,,,,,pending,become v.,
583,bed,臥所、床、寝床,1,A1,,,,,,,,,pending,bed n.,
584,bedlam,癲狂院,32,C2,,,,,,,,,pending,bedlam (n),
585,bedroom,臥所、寝室、寝床,1,A1,,,,,,,,,pending,bedroom n.,
586,bee,蜂、花蜂、ビー,4,B1,,,,,,,,,pending,bee n.,
587,beef,牛、牛肉、ビーフ,2,A2,,,,,,,,,pending,beef n.,
588,beer,麦酒、雑酒、麦般若,1,A1,,,,,,,,,pending,beer n.,
589,before,〜の前に、以前に,1,A1,,,,,,,,,pending,before prep.,
590,before,〜の前に、以前に,2,A2,,,,,,,,,pending,"before conj., adv.",
591,beg,願う、強請る、拝み倒す,8,B2,,,,,,,,,pending,beg v.,
592,begin,開ける、掛ける、起こす,1,A1,,,,,,,,,pending,begin v.,
593,beginning,抑、為初め、一,1,A1,,,,,,,,,pending,beginning n.,
594,beguile,だます、魅了する,32,C2,,,,,,,,,pending,beguile (v),
595,behalf,利益、代表,16,C1,,,,,,,,,pending,behalf n.,
596,behave,出る、立ち振る舞う、振る舞う,2,A2,,,,,,,,,pending,behave v.,
597,behavior,挙措、挙動、行儀,2,A2,,,,,,,,,pending,behavior n.,
598,behavioral,行動の,16,C1,,,,,,,,,pending,behavioral adj.,
599,behemoth,ベヒーモス、ビヒモス,32,C2,,,,,,,,,pending,behemoth (n),
600,behind,〜の後ろに,1,A1,,,,,,,,,pending,"behind prep., adv.",
601,being,お出で、生存、存在,8,B2,,,,,,,,,pending,being n.,
602,beleaguer,包囲する、悩ませる,32,C2,,,,,,,,,pending,beleaguer (v),
603,belie,誤り伝える,32,C2,,,,,,,,,pending,belie (v),
604,belief,確信、宗教、所信,4,B1,,,,,,,,,pending,belief n.,
605,believe,考える、信じる、信ずる,1,A1,,,,,,,,,pending,believe v.,
606,bell,呼び鈴、鐘、朝顔,4,B1,,,,,,,,,pending,bell n.,
607,bellicose,好戦的な,32,C2,,,,,,,,,pending,bellicose (adj),
608,belligerent,好戦的、喧嘩腰、好戦的な人,32,C2,,,,,,,,,pending,belligerent (adj),
609,bellwether,主導者,32,C2,,,,,,,,,pending,bellwether (n),
610,belong,属する、所有物である,2,A2,,,,,,,,,pending,belong v.,
611,beloved,愛しい、懐かしい、親愛,16,C1,,,,,,,,,pending,beloved adj.,
612,below,〜の下に,1,A1,,,,,,,,,pending,"below adv., prep.",
613,belt,一帯、下紐、回し,2,A2,,,,,,,,,pending,belt n.,
614,bemoan,嘆く,32,C2,,,,,,,,,pending,bemoan (v),
615,bench,縁台、腰掛け、台,16,C1,,,,,,,,,pending,bench n.,
616,benchmark,基準試験、性能評価、水準点,16,C1,,,,,,,,,pending,benchmark n.,
617,bend,曲がる、曲げる、屈する,4,B1,,,,,,,,,pending,"bend v., n.",
618,beneath,下,16,C1,,,,,,,,,pending,beneath prep.,
619,benefactor,恩人、施主,32,C2,,,,,,,,,pending,benefactor (n),
620,beneficial,有益、良い、いい,8,B2,,,,,,,,,pending,beneficial adj.,
621,beneficiary,受益者、権利者,16,C1,,,,,,,,,pending,beneficiary n.,
622,benefit,為、恩恵、恩沢,2,A2,,,,,,,,,pending,benefit n.,
623,benefit,為、給付、潤す,4,B1,,,,,,,,,pending,benefit v.,
624,benevolence,お陰、お蔭様、慈心,32,C2,,,,,,,,,pending,benevolence (n),
625,benevolent,慈悲深い,32,C2,,,,,,,,,pending,benevolent (adj),
626,bent,傾き、曲がった、ベント,8,B2,,,,,,,,,pending,bent adj.,
627,bequeath,譲る、伝える、残す,32,C2,,,,,,,,,pending,bequeath (v),
628,bequest,遺愛、遺財、遺産,32,C2,,,,,,,,,pending,bequest (n),
629,berate,激しく叱る,32,C2,,,,,,,,,pending,berate (v),
630,bereavement,死別、不幸,32,C2,,,,,,,,,pending,bereavement (n),
631,bereft,奪われた、喪失した,32,C2,,,,,,,,,pending,bereft (adj),
632,beseech,希う,32,C2,,,,,,,,,pending,beseech (v),
633,beset,取り囲む、悩ませる,32,C2,,,,,,,,,pending,beset (v),
634,beside,横、側、傍らに,8,B2,,,,,,,,,pending,beside prep.,
635,besides,傍らに、傍ら、他,8,B2,,,,,,,,,pending,"besides prep., adv.",
636,besotted,夢中になった、酔った,32,C2,,,,,,,,,pending,besotted (adj),
637,best,最もよい,1,A1,,,,,,,,,pending,best adj.,
638,best,最もよい,2,A2,,,,,,,,,pending,"best adv., n.",
639,bestow,遣る、下さる、遣わす,32,C2,,,,,,,,,pending,bestow (v),
640,bet,掛ける、賭ける、賭する,8,B2,,,,,,,,,pending,"bet v., n.",
641,betray,寝返る、裏切る、裏返る,16,C1,,,,,,,,,pending,betray v.,
642,better,よりよい,1,A1,,,,,,,,,pending,better adj.,
643,better,よりよい,2,A2,,,,,,,,,pending,better adv.,
644,better,よりよい,4,B1,,,,,,,,,pending,better n.,
645,between,〜の間に,1,A1,,,,,,,,,pending,between prep.,
646,between,〜の間に,2,A2,,,,,,,,,pending,between adv.,
647,beverage,飲料、飲み物、水物,16,C1,,,,,,,,,pending,beverage n.,
648,bewitching,艶かしい、艶やか、怪しい,32,C2,,,,,,,,,pending,bewitching (adj),
649,beyond,以上、以遠、他,8,B2,,,,,,,,,pending,"beyond prep., adv.",
650,bias,依怙、依怙贔屓、我情,8,B2,,,,,,,,,pending,bias n.,
651,bicycle,自転車、銀輪、ちゃり,1,A1,,,,,,,,,pending,bicycle n.,
652,bid,競る、入札、付け値,8,B2,,,,,,,,,pending,"bid n., v.",
653,big,大いなる、大きな、大幅,1,A1,,,,,,,,,pending,big adj.,
654,bigotry,偏狭、頑迷,32,C2,,,,,,,,,pending,bigotry (n),
655,bike,自転車,1,A1,,,,,,,,,pending,bike n.,
656,bilateral,バイラテラル、二国間、両国間,32,C2,,,,,,,,,pending,bilateral (adj),
657,bill,お札、案、会計,1,A1,,,,,,,,,pending,bill n.,
658,bill,勘定、お札、案,8,B2,,,,,,,,,pending,bill v.,
659,billion,十億、ビリオン,2,A2,,,,,,,,,pending,billion number,
660,billow,畝る、波打つ、波立つ,32,C2,,,,,,,,,pending,billow (v),
661,bind,掛ける、括り付ける、括る,16,C1,,,,,,,,,pending,bind v.,
662,biography,一代記、伝、伝記,16,C1,,,,,,,,,pending,biography n.,
663,biological,実の、生物系、生物学的製剤,8,B2,,,,,,,,,pending,biological adj.,
664,biology,生物、生物学、バイオロジー,2,A2,,,,,,,,,pending,biology n.,
665,bird,鳥、酉、バード,1,A1,,,,,,,,,pending,bird n.,
666,birth,お産、血統、御降誕,2,A2,,,,,,,,,pending,birth n.,
667,birthday,誕生日、誕辰、生日,1,A1,,,,,,,,,pending,birthday n.,
668,bishop,角、司教、主教,16,C1,,,,,,,,,pending,bishop n.,
669,bit,一片、一毫、小片,2,A2,,,,,,,,,pending,bit n.,
670,bite,一飲み、一口、噛み締める,32,C2,,,,,,,,,pending,bite the bullet (idiom),
671,bite,噛み締める、噛み付く、噛む,4,B1,,,,,,,,,pending,"bite v., n.",
672,bitter,苦い、恨めしい、渋い,8,B2,,,,,,,,,pending,bitter adj.,
673,bizarre,異様、怪奇、奇想天外,16,C1,,,,,,,,,pending,bizarre adj.,
674,black,暗然、黒い、ストレート,1,A1,,,,,,,,,pending,"black adj., n.",
675,blade,一刀、羽、剣,16,C1,,,,,,,,,pending,blade n.,
676,blame,恨む、指弾、責める,8,B2,,,,,,,,,pending,"blame v., n.",
677,blank,空白、真っ白、虚ろ,2,A2,,,,,,,,,pending,"blank adj., n.",
678,blanket,毛布、ブランケット、ケット,8,B2,,,,,,,,,pending,blanket n.,
679,blasphemy,不敬、冒涜、涜神,32,C2,,,,,,,,,pending,blasphemy (n),
680,blast,ぶっ飛ぶ、非難を浴びせる、ぶかぶか,16,C1,,,,,,,,,pending,"blast n., v.",
681,bleed,出る、出ず,16,C1,,,,,,,,,pending,bleed v.,
682,blend,混ぜる、混ぜ合わせる、混ぜ合わす,16,C1,,,,,,,,,pending,"blend v., n.",
683,bless,恵む、ブレス,16,C1,,,,,,,,,pending,bless v.,
684,blessing,お陰、お蔭様、恩恵,16,C1,,,,,,,,,pending,blessing n.,
685,blind,闇雲、盲滅法、盲目的,8,B2,,,,,,,,,pending,blind adj.,
686,blithe,ちゃらんぽらん,32,C2,,,,,,,,,pending,blithe (adj),
687,block,街区、滑車、梗塞,2,A2,,,,,,,,,pending,block n.,
688,block,詰まらせる、拒む、梗塞,4,B1,,,,,,,,,pending,block v.,
689,blog,ブログ、ウェブログ、ブログる,1,A1,,,,,,,,,pending,blog n.,
690,blond,金髪の,1,A1,,,,,,,,,pending,blond adj.,
691,blood,血、血液、血の気,2,A2,,,,,,,,,pending,blood n.,
692,blow,一撃、一打、一打ち,8,B2,,,,,,,,,pending,blow n.,
693,blow,一撃、一打ち、殴打,2,A2,,,,,,,,,pending,blow v.,
694,blue,重い、青い、蒼然,1,A1,,,,,,,,,pending,"blue adj., n.",
695,board,委員会、庁、板,2,A2,,,,,,,,,pending,board n.,
696,board,乗り込む、乗る、入庁,4,B1,,,,,,,,,pending,board v.,
697,boast,威張る、自慢、力む,16,C1,,,,,,,,,pending,boast v.,
698,boat,舟艇、船、端艇,1,A1,,,,,,,,,pending,boat n.,
699,body,遺骸、一団、機関,1,A1,,,,,,,,,pending,body n.,
700,boil,煮えたぎる、煮る、煮立つ,2,A2,,,,,,,,,pending,boil v.,
701,boisterous,喧しい、騒がしい、騒々しい,32,C2,,,,,,,,,pending,boisterous (adj),
702,bold,太々しい、臆面もない、果敢,8,B2,,,,,,,,,pending,bold adj.,
703,bomb,滑る、爆弾、爆裂弾,4,B1,,,,,,,,,pending,"bomb n., v.",
704,bombastic,仰々しい、事々しい,32,C2,,,,,,,,,pending,bombastic (adj),
705,bombing,爆撃、爆死、爆弾,8,B2,,,,,,,,,pending,bombing n.,
706,bond,一札、因縁、縁,8,B2,,,,,,,,,pending,bond n.,
707,bone,硬骨、骨、ボーン,2,A2,,,,,,,,,pending,bone n.,
708,bonus,一時金、割り増し金、賞与,16,C1,,,,,,,,,pending,bonus n.,
709,book,冊子、書籍、書物,1,A1,,,,,,,,,pending,book n.,
710,book,申し込む、著作、著述,2,A2,,,,,,,,,pending,book v.,
711,booking,冊子、書籍、書物,16,C1,,,,,,,,,pending,booking n.,
712,boom,景気、上景気、盛況,16,C1,,,,,,,,,pending,boom n.,
713,boon,賜物、授かり物、賜り物,32,C2,,,,,,,,,pending,boon (n),
714,boorish,無風流、ガラが悪い、無粋,32,C2,,,,,,,,,pending,boorish (adj),
715,boost,高める、押し上げる、守り立てる,8,B2,,,,,,,,,pending,"boost v., n.",
716,boot,荷室、トランク、ブート,1,A1,,,,,,,,,pending,boot n.,
717,border,縁取る、隣る、相接する,8,B2,,,,,,,,,pending,border v.,
718,border,外枠、垣根、境,4,B1,,,,,,,,,pending,border n.,
719,bored,詰まらなそう、所在無い、所在なげ,1,A1,,,,,,,,,pending,bored adj.,
720,boring,詰らない、塩っぱい、平板,1,A1,,,,,,,,,pending,boring adj.,
721,born,天成,1,A1,,,,,,,,,pending,born v.,
722,borrow,借りる、借り込む、借り受ける,2,A2,,,,,,,,,pending,borrow v.,
723,boss,監督、顔役、旗頭,2,A2,,,,,,,,,pending,boss n.,
724,both,両方の,1,A1,,,,,,,,,pending,both det./pron.,
725,bother,苦しめる、世話を焼く、痛める,4,B1,,,,,,,,,pending,bother v.,
726,bottle,瓶、ボトル,1,A1,,,,,,,,,pending,bottle n.,
727,bottom,お尻、奥、下,2,A2,,,,,,,,,pending,"bottom n., adj.",
728,bounce,弾ける、弾む、バウンド,16,C1,,,,,,,,,pending,bounce v.,
729,bound,限界、弾ける、弾む,8,B2,,,,,,,,,pending,bound adj.,
730,boundary,境、境界、境目,16,C1,,,,,,,,,pending,boundary n.,
731,bounty,交付金、奨励金、報奨,32,C2,,,,,,,,,pending,bounty (n),
732,bourgeoisie,市民、中産階級、有産階級,32,C2,,,,,,,,,pending,bourgeoisie (n),
733,bow1,お辞儀、一礼、曲げる,16,C1,,,,,,,,,pending,"bow1 v., n.",
734,bowl,お碗、一膳、器,2,A2,,,,,,,,,pending,bowl n.,
735,box,桟敷、升、入れ,1,A1,,,,,,,,,pending,box n.,
736,boy,お坊ちゃん、一男、児,1,A1,,,,,,,,,pending,boy n.,
737,boyfriend,男、彼、彼氏,1,A1,,,,,,,,,pending,boyfriend n.,
738,brain,脳、脳髄、ブレーン,2,A2,,,,,,,,,pending,brain n.,
739,branch,一朶、支部、支脈,4,B1,,,,,,,,,pending,branch n.,
740,brand,呼ぶ、焼印を押す、焼印,4,B1,,,,,,,,,pending,"brand n., v.",
741,brandish,一閃、振り回す、閃かす,32,C2,,,,,,,,,pending,brandish (v),
742,bravado,空元気、空威張り,32,C2,,,,,,,,,pending,bravado (n),
743,brave,気丈、潔い、健気,4,B1,,,,,,,,,pending,brave adj.,
744,bravura,華麗な技巧,32,C2,,,,,,,,,pending,bravura (n),
745,breach,違反、決壊、破る,16,C1,,,,,,,,,pending,"breach n., v.",
746,bread,食パン、麺麭、蒸餅,1,A1,,,,,,,,,pending,bread n.,
747,break,壊す、休憩,1,A1,,,,,,,,,pending,"break v., n.",
748,breakdown,決裂、故障、衰弱,16,C1,,,,,,,,,pending,breakdown n.,
749,breakfast,粥、朝、朝食,1,A1,,,,,,,,,pending,breakfast n.,
750,breakthrough,突破、突破口、新機軸,16,C1,,,,,,,,,pending,breakthrough n.,
751,breast,胸、胸元、胸板,8,B2,,,,,,,,,pending,breast n.,
752,breath,気息、息、息吹,4,B1,,,,,,,,,pending,breath n.,
753,breathe,息をする、吐く、息衝く,4,B1,,,,,,,,,pending,breathe v.,
754,breathing,気息、呼吸、息,4,B1,,,,,,,,,pending,breathing n.,
755,breed,湧かす、種、品種,16,C1,,,,,,,,,pending,"breed v., n.",
756,brevity,簡約、簡、短さ,32,C2,,,,,,,,,pending,brevity (n),
757,brick,煉瓦、瓦石、磚,8,B2,,,,,,,,,pending,brick n.,
758,bride,お嫁さん、嫁、花嫁,4,B1,,,,,,,,,pending,bride n.,
759,bridge,艦橋、橋、橋梁,2,A2,,,,,,,,,pending,bridge n.,
760,brief,簡潔、簡単、簡略,8,B2,,,,,,,,,pending,brief adj.,
761,briefly,一寸、一旦、一通り,8,B2,,,,,,,,,pending,briefly adv.,
762,bright,和やか、輝かしい、燦々,2,A2,,,,,,,,,pending,bright adj.,
763,brilliant,絢爛、輝かしい、燦々,2,A2,,,,,,,,,pending,brilliant adj.,
764,bring,持ってくる,1,A1,,,,,,,,,pending,bring v.,
765,brinkmanship,瀬戸際政策,32,C2,,,,,,,,,pending,brinkmanship (n),
766,broad,巨視的、大雑把、大まか,8,B2,,,,,,,,,pending,broad adj.,
767,broadband,広帯域、ブロードバンド,16,C1,,,,,,,,,pending,broadband n.,
768,broadcast,触れ回る、放送、流す,8,B2,,,,,,,,,pending,"broadcast v., n.",
769,broadcaster,放送局、アナウンサー,8,B2,,,,,,,,,pending,broadcaster n.,
770,broadly,豁然、洋々、渺々,8,B2,,,,,,,,,pending,broadly adv.,
771,broken,駄目、途切れ途切れ、ブロークン,2,A2,,,,,,,,,pending,broken adj.,
772,brother,兄さん、入満、ブラザー,1,A1,,,,,,,,,pending,brother n.,
773,brown,茶、赤銅色、青鹿毛,1,A1,,,,,,,,,pending,"brown adj., n.",
774,browser,ブラウザ,16,C1,,,,,,,,,pending,browser n.,
775,brush,小競り合い、掃く、磨く,2,A2,,,,,,,,,pending,"brush v., n.",
776,brusque,ぶっきら棒、無愛想、無骨,32,C2,,,,,,,,,pending,brusque (adj),
777,brutal,殺生、殺伐、惨い,16,C1,,,,,,,,,pending,brutal adj.,
778,bubble,気泡、水泡、泡,4,B1,,,,,,,,,pending,bubble n.,
779,buck,牡鹿,8,B2,,,,,,,,,pending,buck n.,
780,buddy,お兄さん、悪友、君,16,C1,,,,,,,,,pending,buddy n.,
781,budget,予算、運営経費、運営費,8,B2,,,,,,,,,pending,budget n.,
782,buffer,緩衝器、安全圏、バッファ記憶,16,C1,,,,,,,,,pending,buffer n.,
783,bug,誤り、昆虫、虫,8,B2,,,,,,,,,pending,bug n.,
784,build,建てる、作る,1,A1,,,,,,,,,pending,build v.,
785,building,骨格、骨組み、作り,1,A1,,,,,,,,,pending,building n.,
786,bulk,塊状、嵩、ばら積み,16,C1,,,,,,,,,pending,bulk n.,
787,bullet,玉、銃弾、弾丸,8,B2,,,,,,,,,pending,bullet n.,
788,bulwark,防壁、防塁、波止,32,C2,,,,,,,,,pending,bulwark (n),
789,bunch,一把、群、衆,8,B2,,,,,,,,,pending,bunch n.,
790,burden,荷、荷物、荷厄介,16,C1,,,,,,,,,pending,burden n.,
791,bureaucracy,官界、官僚、官僚主義,16,C1,,,,,,,,,pending,bureaucracy n.,
792,burgeon,急成長する、芽生える,32,C2,,,,,,,,,pending,burgeon (v),
793,burial,限り、土葬、埋葬,16,C1,,,,,,,,,pending,burial n.,
794,burn,火傷、熱傷、腐るほど,8,B2,,,,,,,,,pending,burn n.,
795,burn,火照る、差す、焼く,2,A2,,,,,,,,,pending,burn v.,
796,burst,吹っ切れる、決壊、切れる,16,C1,,,,,,,,,pending,burst v.,
797,bury,葬る、送る、閉ざす,4,B1,,,,,,,,,pending,bury v.,
798,bus,乗合自動車、母線、中吊り広告,1,A1,,,,,,,,,pending,bus n.,
799,bush,木、棘、藪,8,B2,,,,,,,,,pending,bush n.,
800,business,仕事、事業,1,A1,,,,,,,,,pending,business n.,
801,businessman,営業マン、業者、事業家,2,A2,,,,,,,,,pending,businessman n.,
802,busy,忙しい,1,A1,,,,,,,,,pending,busy adj.,
803,but,しかし,1,A1,,,,,,,,,pending,but conj.,
804,but,しかし,8,B2,,,,,,,,,pending,but prep.,
805,butter,牛酪、バター,1,A1,,,,,,,,,pending,butter n.,
806,button,鈕、摘み、止める,2,A2,,,,,,,,,pending,button n.,
807,buttress,控え壁、扶壁、バットレス,32,C2,,,,,,,,,pending,buttress (v),
808,buy,買う,1,A1,,,,,,,,,pending,buy v.,
809,by,〜によって、〜のそばに,1,A1,,,,,,,,,pending,by prep.,
810,by,〜によって、〜のそばに,4,B1,,,,,,,,,pending,by adv.,
811,bye,行ってき、あばよ、またね,1,A1,,,,,,,,,pending,bye exclam.,
812,byword,代名詞、二言目,32,C2,,,,,,,,,pending,byword (n),
813,cabal,徒党、陰謀団,32,C2,,,,,,,,,pending,cabal (n),
814,cabin,館、小屋、船室,8,B2,,,,,,,,,pending,cabin n.,
815,cabinet,戸棚、箪笥、内閣,16,C1,,,,,,,,,pending,cabinet n.,
816,cable,公電、索条、鉄索,4,B1,,,,,,,,,pending,cable n.,
817,cache,隠し場所、貯蔵物、キャッシュ,32,C2,,,,,,,,,pending,cache (n),
818,cacophony,噪音、不協和音,32,C2,,,,,,,,,pending,cacophony (n),
819,cadence,歩調、鳴動、アクセント,32,C2,,,,,,,,,pending,cadence (n),
820,cafe,喫茶、喫茶店、茶寮,1,A1,,,,,,,,,pending,cafe n.,
821,cajole,丸める、丸め込む、煽てる,32,C2,,,,,,,,,pending,cajole (v),
822,cake,お菓子、菓子、甘味,1,A1,,,,,,,,,pending,cake n.,
823,calculate,割り出す、はじき出す、弾く,8,B2,,,,,,,,,pending,calculate v.,
824,calculation,運算、演算、勘定,16,C1,,,,,,,,,pending,calculation n.,
825,calibre,器、器物、器量,32,C2,,,,,,,,,pending,calibre (n),
826,call,呼び寄せる、呼び起こす、呼び出す,1,A1,,,,,,,,,pending,"call v., n.",
827,callous,殺生、非情、酷薄,32,C2,,,,,,,,,pending,callous (adj),
828,calm,安い、安らか、安閑,4,B1,,,,,,,,,pending,"calm adj., v., n.",
829,camaraderie,友情,32,C2,,,,,,,,,pending,camaraderie (n),
830,camera,写真機、撮像機、カメラ,1,A1,,,,,,,,,pending,camera n.,
831,camp,幕営、宿営、芋る,2,A2,,,,,,,,,pending,"camp n., v.",
832,campaign,運動、遠征、カンパ,4,B1,,,,,,,,,pending,"campaign n., v.",
833,camping,営所、軍陣、陣営,2,A2,,,,,,,,,pending,camping n.,
834,campus,学園、校庭、構内,2,A2,,,,,,,,,pending,campus n.,
835,can1,〜できる,1,A1,,,,,,,,,pending,can1 modal v.,
836,can2,缶,2,A2,,,,,,,,,pending,can2 n.,
